day,income,cash
1,55000,10
2,101300,16
3,120900,15
4,136600,18
5,156900,24
6,166000,14
7,111000,23
8,104700,13
9,176000,26
10,233200,21
11,159400,20
12,201900,24
13,245900,21
14,187300,14
15,176600,17
16,182600,14
17,243400,28
18,177900,26
19,239700,20
20,282000,23
21,202300,29
22,136900,14
23,287100,25
24,263900,37
25,196400,17
26,160300,9
27,247600,20
28,167700,18
29,127600,6
30,197400,20
31,188900,19
32,169700,24
33,151000,20
34,167000,10
35,145200,20
36,157500,13
37,204600,30
38,219900,24
39,210100,28
40,195600,22
41,240900,24
42,139800,23
43,145100,17
44,153600,26
45,199200,21
46,213500,22
51,789200,79
52,208900,31
53,259400,23
54,151900,20
55,92800,9
56,180200,21
57,202400,28
58,192800,23
59,184100,22
60,200600,24
61,202200,12
62,280800,25
63,202200,21
64,155300,10
65,177500,14
66,214600,26
67,171700,15
68,206100,24
69,201000,22
70,150000,21
71,156400,11
72,174900,22
73,158200,9
74,176700,19
75,176300,21
76,207800,22
77,156000,14
78,166700,17
79,143800,13
80,159300,15
81,158700,20
82,183200,10
83,216900,19
84,156400,15
85,131700,7
86,166200,16
87,181000,25
88,207200,16
89,166300,19
90,209900,20
91,197300,26
92,111300,20
93,148500,14
94,200000,17
95,172000,14
96,206300,28
97,197900,20
98,201200,18
99,152500,22
100,223000,9
101,226100,15
102,247900,23
103,181400,9
104,241400,13
105,168700,25
106,133500,14
107,194800,16
108,203600,13
109,147700,9
110,165700,24
111,155000,16
112,123400,6
113,101400,14
114,159700,17
115,181400,16
116,118500,12
117,118500,15
118,174200,16
119,154600,11
120,138600,24
121,155600,14
122,124800,16
123,123100,14
124,115100,14
125,170600,20
126,168500,9
127,81400,16
128,107000,13
129,128700,22
130,149100,15
131,131800,19
132,155100,24
133,161200,8
134,110300,9
135,167000,15
136,165200,6
137,182800,16
138,145400,14
139,207500,10
140,128200,16
141,108500,10
142,158300,12
143,138200,20
144,151500,17
145,146500,9
146,186400,20
147,165400,15
148,103800,8
149,128800,14
150,96100,20
151,154400,17
152,169200,15
153,191600,26
154,174300,9
155,72700,8
156,136100,17
157,108600,7
158,110800,14
159,117600,14
160,213000,12
161,181300,21
162,107200,5
163,114400,12
164,118900,16
165,142700,20
166,70200,5
167,48900,10
168,49300,7
169,25000,2
170,38800,5
171,33400,2
172,25400,1
173,23100,0
174,41600,3
175,47400,3
176,35100,6
177,32400,4
178,18100,0
179,39300,5
180,38600,6
181,60700,5
182,41800,3
183,35300,0
184,49900,8
185,46800,2
186,58700,6
187,65400,6
188,101500,10
189,51200,2
190,37500,9
191,54900,6
192,63100,3
193,91400,7
194,88000,9
195,128000,8
196,100800,11
197,61600,4
198,92300,8
199,83400,8
200,87700,10
201,77800,7
202,99800,20
203,109900,10
204,83000,11
205,81300,9
206,88100,17
207,98400,6
208,115000,10
209,147900,14
210,119300,17
211,97000,19
212,105600,14
213,95500,17
214,129300,14
215,125500,21
216,145900,8
217,140600,19
218,104900,7
219,104900,10
220,121800,12
221,110000,11
222,119100,15
223,161800,16
224,143300,11
225,82700,9
226,121200,4
227,123800,18
228,114800,10
229,127100,16
230,160800,9
231,163900,15
232,106100,6
233,118300,8
234,80600,9
235,112800,16
236,127500,16
237,139500,21
238,107100,13
239,124700,18
240,174900,13
241,116800,14
242,198200,16
243,155400,12
244,157500,6
245,162900,13
246,111500,18
247,130800,11
248,136100,9
249,141500,18
250,160900,16
251,172700,17
252,142200,12
253,119200,15
254,154400,19
255,120500,13
256,129700,19
257,110500,18
258,166500,18
259,163300,10
260,137500,14
261,104600,11
262,135700,13
263,152000,18
264,112500,9
265,174700,20
266,112800,20
267,107700,9
268,109000,19
269,150100,22
270,149700,13
271,140800,10
272,191900,14
273,144400,21
274,102900,11
275,114600,23
276,117000,11
277,160800,17
278,152200,15
279,148300,13
280,167100,17
281,171700,15
282,116400,16
283,146700,19
284,134800,13
285,134300,27
286,172000,18
287,143600,12
288,99900,5
289,139100,13
290,167200,13
291,136800,18
292,112800,10
293,121200,18
294,139500,11
295,141500,10
296,146200,26
297,91300,21
298,130200,13
299,139100,21
300,212600,31
301,134900,11
302,145800,8
303,141100,11
304,172500,14
305,156700,23
306,182900,15
307,173500,14
308,120200,13
309,131400,14
310,120100,10
311,152300,20
312,112200,11
313,132900,17
314,166900,14
315,127500,10
316,120300,11
317,148700,18
318,231100,9
319,176800,11
320,158200,18
321,188900,10
322,176900,18
323,212400,24
324,225500,13
325,159900,14
326,199700,23
327,207000,20
328,183400,14
329,208000,21
330,148000,12
331,207600,21
332,198200,8
333,199100,13
334,242900,17
335,246000,17
336,182700,10
337,210200,20
338,265600,28
339,231100,14
340,213800,19
341,223100,20
342,262800,19
343,238300,20
344,144000,13
345,200600,8
346,211600,15
347,220800,17
348,214600,16
349,242800,16
350,239300,22
351,188100,13
352,163900,15
353,199400,23
354,219000,20
355,181300,12
356,215200,17
357,117800,10
358,120200,16
359,162400,19
360,179700,9
361,181700,14
362,245700,19
363,221900,15
364,174800,12
365,135400,12
