day_of_year;temperature;wind_speed;precipitation
1;-32.5;11.4;1.0
2;-36.3;16.1;1.0
3;-25.9;24.0;8.9
4;-20.5;18.8;12.6
5;-29.3;24.7;6.4
6;-38.6;16.9;1.0
7;-45.7;12.2;1.0
8;-43.3;13.9;1.0
9;-34.2;26.0;1.0
10;-41.0;22.4;1.0
11;-44.2;13.6;1.0
12;-36.0;19.7;6.8
13;-36.2;18.5;3.1
14;-31.3;17.4;5.1
15;-30.4;19.5;16.7
16;-23.4;15.1;11.4
17;-29.6;23.1;3.1
18;-21.9;22.7;11.8
19;-27.4;16.3;3.5
20;-33.0;25.5;1.0
21;-25.7;41.3;28.8
22;-20.1;13.1;20.1
23;-28.2;13.1;3.5
24;-32.2;21.1;6.8
25;-15.9;24.2;10.1
26;-13.0;22.3;7.6
27;-11.4;25.5;2.7
28;-10.3;18.9;3.9
29;-18.4;19.5;2.7
30;-19.0;19.4;1.4
31;-15.0;21.2;1.0
32;-11.1;29.4;8.5
33;-11.1;22.3;1.0
34;-8.5;15.3;1.4
35;-10.1;13.2;4.7
36;-14.6;14.8;4.3
37;-18.7;11.8;1.0
38;-23.8;14.3;1.0
39;-21.9;29.9;8.5
40;-18.1;26.1;2.2
41;-12.4;34.8;4.7
42;-5.9;32.4;1.0
43;-7.4;36.3;2.7
44;-10.8;35.3;2.2
45;-13.4;21.4;5.1
46;-15.9;18.4;3.5
47;-11.6;42.1;12.2
48;-5.4;33.9;6.4
49;-11.9;17.3;1.0
50;-19.5;12.9;1.0
51;-21.8;9.6;1.0
52;-21.6;13.4;1.0
53;-13.7;27.7;15.1
54;-4.7;31.4;2.2
55;-3.8;13.1;13.0
56;-9.5;26.3;7.2
57;-17.5;15.2;1.0
58;-20.3;18.3;1.4
59;-12.8;25.3;20.9
60;-13.4;17.9;8.5
61;-11.5;22.3;14.3
62;-17.2;34.0;3.5
63;-24.3;18.7;1.4
64;-28.3;9.3;1.0
65;-26.9;14.0;1.8
66;-24.9;21.0;5.6
67;-25.2;25.9;1.8
68;-21.0;34.1;1.0
69;-13.2;34.5;10.5
70;-8.3;23.8;45.7
71;-12.5;47.5;5.6
72;-10.0;24.1;7.6
73;-1.9;31.7;1.4
74;-6.8;34.4;1.0
75;-2.9;31.1;2.7
76;-5.4;21.3;31.2
77;-18.6;22.7;3.5
78;-18.3;27.4;1.8
79;-9.3;37.3;9.7
80;-6.0;39.6;6.4
81;-4.2;27.3;42.0
82;-4.9;42.3;9.3
83;-11.2;15.1;1.0
84;-9.4;17.7;8.0
85;-8.4;15.4;10.5
86;-11.8;34.7;3.9
87;-17.0;14.0;1.0
88;-17.8;15.7;1.4
89;-18.3;27.9;1.0
90;-18.5;26.4;1.0
91;-4.7;38.6;6.4
92;-1.0;30.4;17.2
93;-10.7;29.6;1.0
94;-12.3;34.7;2.7
95;-9.5;25.3;1.0
96;-20.1;36.1;2.2
97;-13.7;32.6;19.2
98;-17.8;32.0;9.3
99;-21.0;20.2;4.7
100;-17.6;27.1;6.0
101;-21.8;23.5;1.0
102;-24.5;20.8;1.0
103;-20.5;32.3;2.7
104;-18.1;22.4;1.8
105;-18.4;19.5;2.7
106;-20.2;37.0;4.7
107;-19.4;20.6;1.0
108;-14.1;26.1;1.0
109;-10.7;17.3;1.0
110;-9.0;8.9;1.0
111;-4.6;17.2;1.8
112;-1.4;17.3;1.0
113;-0.1;23.5;1.0
114;-1.4;36.0;19.6
115;-2.3;27.6;1.0
116;-3.9;11.4;1.0
117;-3.6;16.6;1.0
118;-4.1;43.4;15.9
119;-4.7;48.1;1.0
120;-4.8;42.2;1.0
121;-5.8;25.0;1.0
122;-3.3;22.4;14.3
123;0.6;13.5;25.9
124;-0.5;12.0;18.4
125;0.7;32.7;15.9
126;-0.8;21.1;1.0
127;-0.5;28.9;15.1
128;-2.5;59.3;8.9
129;-5.5;33.0;8.5
130;-0.7;19.8;12.6
131;-9.4;30.6;1.4
132;-10.3;14.5;1.0
133;-5.7;29.1;7.6
134;-5.0;34.0;2.2
135;-0.7;33.2;6.8
136;-1.3;31.7;5.6
137;-2.8;20.4;1.0
138;3.2;31.0;1.0
139;6.7;37.7;1.0
140;1.5;19.1;1.0
141;-0.5;5.8;1.0
142;3.0;21.2;1.0
143;1.6;25.1;1.0
144;-0.7;8.0;1.0
145;3.8;11.4;1.0
146;9.3;22.0;1.0
147;13.9;26.2;1.0
